year,nuts2,nuts3,objective_inequality_index,income_gap,access_to_services,poverty_risk_rate,perceived_injustice,perceived_unfairness,life_satisfaction,economic_optimism,civic_participation,voter_turnout,protest_activity,associational_membership,democratic_trust,institutional_trust,political_efficacy,corruption_perception,media_access_index,local_media_presence,digital_literacy,internet_coverage
2025,RS21,RS213,44.6,49.5,,39.8,83.5,,8.3,24.8,43.4,,,43.4,51.0,,62.4,60.4,62.2,46.1,61.7,78.7
2026,RS21,RS213,47.0,53.0,48.8,36.7,80.9,78.3,11.1,24.6,35.9,43.5,18.7,45.5,61.7,83.2,,59.8,55.0,44.9,65.0,
2016,RS21,RS214,46.5,,44.7,37.7,36.6,53.7,48.3,95.5,32.1,,,32.1,53.6,44.9,70.2,54.3,40.5,72.1,9.0,
2017,RS21,RS214,49.0,54.3,46.7,39.3,27.3,,46.0,99.4,46.9,59.8,,34.0,56.2,48.5,71.1,50.9,44.0,,12.8,75.2
2018,RS21,RS214,50.1,55.5,45.3,40.2,36.3,55.6,49.0,97.8,59.2,61.8,85.6,30.2,59.8,52.1,74.7,47.5,57.2,76.9,16.7,78.0
2019,RS21,RS214,48.1,,46.2,42.4,35.6,52.5,45.8,100.0,59.5,62.5,86.9,29.0,60.9,54.2,73.8,45.4,78.8,79.8,,77.7
2020,RS21,RS214,45.0,,50.2,40.2,53.1,52.5,46.2,,63.7,63.7,,,53.3,55.9,,49.3,56.5,79.7,13.9,75.8
2021,RS21,RS214,44.5,,50.0,38.9,27.1,49.3,,95.0,47.0,63.1,,30.8,61.0,56.1,74.4,47.4,55.7,78.3,16.8,72.1
2022,RS21,RS214,44.0,51.1,,36.8,33.5,47.2,48.7,98.1,67.1,67.1,,,61.8,59.4,72.1,46.0,47.0,76.9,17.0,
2023,RS21,RS214,47.4,53.8,52.3,40.7,1.2,,,98.8,61.2,63.9,88.2,31.4,56.5,58.3,,45.2,55.7,76.1,15.6,75.4
2024,RS21,RS214,46.6,53.6,53.8,39.9,0.0,,,100.0,59.6,62.4,87.4,29.0,59.5,60.5,66.2,48.2,48.8,,18.5,79.1
2025,RS21,RS214,48.6,57.5,54.4,42.7,36.5,53.7,44.1,100.0,61.9,,90.8,33.0,59.6,60.8,68.4,50.3,56.7,78.2,14.9,77.1
2026,RS21,RS214,47.9,54.1,55.9,45.6,35.4,53.7,47.8,99.7,60.6,60.4,90.0,31.3,65.2,58.6,71.9,,45.6,79.2,12.1,
2016,RS21,RS215,80.3,85.1,0.7,56.5,37.9,,54.2,70.0,68.2,83.9,68.0,52.6,59.8,88.3,31.2,,83.0,99.1,63.1,86.7
2017,RS21,RS215,80.7,88.9,2.8,56.0,29.8,14.2,58.1,66.8,69.2,81.2,70.4,55.9,66.0,89.3,,57.3,85.4,100.0,65.5,90.6
2018,RS21,RS215,80.9,90.1,0.0,52.7,30.5,16.4,57.7,67.2,65.5,79.0,,52.0,45.5,,,54.5,87.4,100.0,69.3,92.9
2019,RS21,RS215,100.0,,0.0,,30.1,19.4,59.3,69.7,66.4,75.2,68.7,55.3,37.9,,34.1,58.3,86.2,96.7,69.4,92.4
2020,RS21,RS215,78.3,83.5,0.0,51.3,29.5,16.1,60.4,67.1,65.4,77.6,,53.3,57.1,95.0,31.7,55.3,70.7,,70.7,
2021,RS21,RS215,78.5,87.3,1.7,49.8,24.8,19.7,,70.2,67.2,77.2,,57.2,38.0,,30.5,54.6,86.4,97.7,73.8,87.8
2022,RS21,RS215,80.5,89.3,0.0,52.3,24.7,21.1,,71.8,69.8,79.9,75.0,54.4,37.3,,33.3,58.6,84.8,94.2,75.3,
2023,RS21,RS215,78.3,86.5,0.0,48.4,28.9,21.8,66.2,69.0,69.8,76.5,75.0,58.0,64.9,96.7,33.1,,86.9,94.9,74.2,91.6
2024,RS21,RS215,78.1,85.1,0.0,49.2,29.2,,68.8,72.7,71.8,79.2,78.4,57.8,40.5,,34.6,53.6,87.7,98.7,75.1,89.4
2025,RS21,RS215,78.8,88.0,0.0,48.5,27.4,21.8,67.0,,72.2,78.8,78.5,59.2,74.8,99.2,,49.7,79.8,,71.1,88.6
2026,RS21,RS215,92.9,88.4,2.6,,28.6,25.4,68.3,71.4,73.1,80.9,75.4,62.9,60.3,97.1,30.7,46.8,83.8,95.6,71.9,
2016,RS21,RS216,19.3,,90.6,29.2,62.3,19.6,6.6,26.2,44.9,7.3,87.3,40.2,48.3,3.2,87.9,46.3,66.9,72.1,29.9,98.8
2017,RS21,RS216,14.5,8.8,91.9,26.6,45.1,19.5,,29.2,49.0,7.4,90.5,,72.5,,90.3,45.4,54.7,75.7,33.6,
2018,RS21,RS216,16.2,7.5,88.1,29.3,54.4,20.9,12.1,,64.3,,92.9,35.8,27.2,3.0,,48.5,69.7,78.9,34.3,95.8
2019,RS21,RS216,16.7,6.5,86.6,30.2,81.9,,8.8,27.4,45.8,9.9,95.0,32.5,66.7,,85.5,52.1,70.4,78.3,33.4,99.6
2020,RS21,RS216,12.7,9.3,84.0,,70.4,,,29.6,62.5,,96.0,28.9,46.2,4.2,87.1,52.6,53.9,74.9,32.8,
2021,RS21,RS216,24.3,,87.6,36.2,59.0,19.8,11.0,31.9,44.6,8.8,94.2,30.7,47.9,4.9,89.5,50.6,68.6,75.8,30.0,100.0
2022,RS21,RS216,15.6,,84.4,,58.2,20.7,14.2,31.9,60.2,,90.8,29.6,27.9,3.4,,47.5,100.0,,,100.0
2023,RS21,RS216,23.5,16.8,85.4,39.2,57.0,17.1,11.6,34.6,92.1,,92.1,,50.3,6.2,93.0,48.3,75.3,75.3,,
2024,RS21,RS216,24.2,18.1,83.4,37.8,56.3,16.4,10.9,36.6,23.9,11.1,,36.6,50.2,6.5,90.9,46.7,67.6,75.8,30.5,96.6
2025,RS21,RS216,25.3,19.1,81.2,38.1,56.2,15.8,12.4,34.7,65.0,,92.3,37.6,52.2,6.9,94.8,45.1,66.7,72.6,32.6,94.9
2026,RS21,RS216,18.6,16.1,79.0,,59.1,17.8,9.1,31.3,48.9,13.8,93.2,39.7,51.1,7.8,94.3,48.9,67.7,74.1,32.0,97.1
2016,RS21,RS217,31.4,46.5,93.3,40.9,51.6,94.4,,91.3,74.2,87.9,,60.4,91.6,93.5,82.7,1.4,69.1,93.8,76.9,36.6
2017,RS21,RS217,30.3,47.6,96.0,39.4,39.7,91.3,79.3,93.0,66.5,89.9,52.3,57.4,94.4,97.1,86.4,0.3,55.4,,74.9,35.9
2018,RS21,RS217,29.4,45.4,93.9,36.6,92.9,92.9,,,65.5,87.4,55.4,53.8,93.5,95.1,86.9,1.4,69.1,98.2,75.1,34.1
2019,RS21,RS217,30.6,49.2,93.3,35.8,12.8,,78.5,95.9,68.2,88.2,58.6,57.7,93.8,,87.6,0.0,51.9,,73.2,30.5
2020,RS21,RS217,31.3,51.8,93.6,35.6,41.3,97.8,75.0,98.9,59.5,,59.1,60.0,94.0,,88.4,0.4,66.4,98.8,71.3,29.0
2021,RS21,RS217,30.9,48.4,91.8,36.0,14.4,,72.6,98.7,58.0,,58.0,,95.4,99.7,86.4,0.0,68.6,100.0,75.2,30.5
2022,RS21,RS217,7.4,,92.6,,51.5,98.0,,94.9,71.0,89.9,58.0,65.0,97.7,97.7,,,64.2,99.3,,29.0
2023,RS21,RS217,30.1,51.1,92.6,31.8,64.1,97.6,69.4,,86.6,86.6,,,94.1,96.6,85.7,0.0,52.0,,72.2,31.9
2024,RS21,RS217,28.4,51.5,94.8,,45.9,100.0,70.8,91.4,70.2,88.7,58.8,63.2,92.8,,87.8,2.3,65.8,100.0,,31.5
2025,RS21,RS217,30.8,55.3,98.0,35.2,55.4,98.7,,87.9,69.1,92.5,55.5,59.2,91.5,96.7,86.3,,63.4,98.8,,28.0
2026,RS21,RS217,31.1,54.7,100.0,38.7,47.0,100.0,70.7,88.4,71.6,96.4,59.0,59.3,95.2,99.3,89.4,3.1,68.9,100.0,80.0,26.7
2016,RS21,RS218,60.9,,65.7,87.6,62.1,75.0,88.3,0.5,13.5,13.1,,13.9,52.6,88.8,62.8,93.7,66.6,32.3,87.7,79.9
2017,RS21,RS218,47.8,20.2,62.5,85.7,61.4,75.1,90.8,0.0,10.5,,,10.5,47.4,85.2,,90.4,55.6,33.8,,77.4
2018,RS21,RS218,50.2,24.1,60.5,87.0,62.5,77.6,89.0,1.2,20.4,12.7,35.7,12.8,51.3,82.2,61.2,89.6,81.8,,87.3,76.4
2019,RS21,RS218,62.1,,62.9,87.1,62.4,75.3,86.2,1.8,23.9,,33.4,14.3,38.4,,63.5,86.8,64.9,28.1,87.3,79.4
2020,RS21,RS218,27.3,21.1,66.4,,44.3,77.9,89.3,,18.9,6.7,33.8,16.3,50.6,78.3,61.6,88.2,67.2,29.6,88.8,83.1
2021,RS21,RS218,60.1,,66.7,87.0,59.9,74.2,86.8,7.8,,,,,51.6,78.4,61.0,84.7,28.7,28.7,,
2022,RS21,RS218,28.0,21.2,65.3,,53.0,,84.1,9.9,21.5,9.5,37.9,17.1,39.6,,62.8,83.6,60.2,31.0,,89.5
2023,RS21,RS218,51.0,19.4,,82.7,80.7,69.3,,7.9,22.2,10.7,40.8,15.1,38.4,,64.0,87.2,69.6,29.1,93.1,86.5
2024,RS21,RS218,57.4,,66.3,81.1,57.8,69.4,90.2,5.8,23.1,12.3,44.8,12.1,72.0,79.4,64.5,,94.7,,94.7,
2025,RS21,RS218,57.9,,63.7,79.5,36.5,65.5,92.5,,30.1,,44.2,15.9,72.6,77.0,68.2,,63.4,30.6,96.2,
2026,RS21,RS218,47.1,24.8,61.5,78.1,82.2,67.5,,3.1,31.1,15.6,46.6,,40.0,,70.0,90.0,99.3,,99.3,
2016,RS22,RS221,58.2,,69.1,85.6,43.9,,88.0,24.3,49.6,55.8,34.3,58.8,50.9,83.9,20.3,51.5,43.5,49.4,62.0,19.1
2017,RS22,RS221,66.0,75.5,66.5,88.9,87.6,98.9,,23.8,49.1,58.5,32.9,55.9,50.0,84.1,21.0,55.2,36.1,50.8,,21.4
2018,RS22,RS221,55.7,78.3,66.9,,59.9,100.0,94.7,25.7,49.2,56.7,36.7,54.3,41.7,,,58.3,45.8,50.0,67.3,20.1
2019,RS22,RS221,64.3,78.4,70.4,84.8,85.7,97.8,,26.4,51.1,57.5,39.0,56.9,31.3,,19.1,56.5,47.4,53.3,66.0,22.8
2020,RS22,RS221,81.8,79.4,,84.2,48.2,96.5,100.0,,49.7,54.9,37.7,56.4,29.7,,16.3,56.9,36.5,51.5,,21.6
2021,RS22,RS221,66.8,82.0,69.7,88.0,85.3,98.2,,27.6,49.2,55.8,35.9,55.8,29.6,,16.3,57.0,44.8,49.0,62.5,22.9
2022,RS22,RS221,66.6,82.6,73.4,90.6,56.6,98.1,99.6,28.8,50.9,58.4,35.1,59.1,61.2,82.5,,60.0,43.6,47.8,64.0,19.0
2023,RS22,RS221,65.3,79.9,75.2,91.2,56.2,100.0,100.0,31.3,51.3,59.2,36.8,57.8,45.8,78.9,15.8,57.3,35.0,49.0,,21.1
2024,RS22,RS221,62.6,77.8,77.6,87.6,57.8,100.0,96.7,30.0,50.9,62.0,32.9,57.7,29.6,,13.2,53.9,23.2,,,23.2
2025,RS22,RS221,63.4,78.5,79.6,91.2,58.3,100.0,96.8,28.3,49.9,64.9,30.6,54.2,48.9,81.5,15.4,50.2,36.5,51.3,,21.6
2026,RS22,RS221,48.9,80.0,82.3,,99.0,99.0,,,48.0,62.6,33.4,,12.8,,12.8,,37.5,51.1,,23.9
2016,RS22,RS222,59.2,36.1,14.5,56.1,63.5,4.2,10.8,3.0,33.9,37.8,,30.0,53.1,61.3,45.0,,47.7,21.4,58.9,62.9
2017,RS22,RS222,58.5,,,58.5,63.2,5.7,12.9,3.3,37.1,38.5,35.7,,37.4,62.0,47.0,96.7,47.9,22.2,59.6,61.8
2018,RS22,RS222,59.0,33.3,16.5,60.2,63.8,2.1,9.8,1.0,36.8,38.9,38.1,33.3,36.3,60.4,44.5,96.1,48.7,25.5,56.3,64.2
2019,RS22,RS222,57.6,30.0,17.2,59.9,93.5,,12.9,0.0,36.5,,39.1,33.9,29.2,57.2,,98.7,47.1,27.9,,66.3
2020,RS22,RS222,57.4,33.0,20.8,60.1,100.0,,,0.0,40.3,42.9,42.1,36.0,19.6,,39.2,100.0,51.4,30.9,53.9,69.5
2021,RS22,RS222,58.5,36.0,18.4,57.9,61.4,2.2,17.9,0.0,36.6,,,36.6,37.2,,37.2,,39.0,27.1,50.8,
2022,RS22,RS222,56.7,36.8,21.1,54.5,60.5,0.0,17.7,0.7,44.0,48.9,,39.1,20.1,,40.3,100.0,52.6,30.3,,75.0
2023,RS22,RS222,57.9,38.5,19.2,54.3,91.2,,16.0,1.7,44.7,48.2,,41.1,32.7,56.6,41.6,100.0,53.8,33.5,52.9,74.9
2024,RS22,RS222,57.4,41.5,20.6,51.3,62.9,4.7,14.9,1.2,44.5,,48.4,40.5,32.5,53.3,44.1,100.0,54.3,34.5,55.9,72.4
2025,RS22,RS222,60.9,38.4,16.6,,60.9,4.6,17.5,4.4,48.2,52.2,,44.3,23.6,,45.5,98.3,51.8,31.0,,72.5
2026,RS22,RS222,54.3,37.4,20.4,45.9,60.0,5.4,18.1,7.2,50.4,,50.4,,31.5,50.7,42.9,99.0,51.9,29.8,55.5,70.5
2016,RS22,RS223,47.8,9.1,13.4,,71.8,71.0,,27.4,49.2,27.8,96.9,23.0,56.2,32.1,80.2,43.8,17.8,5.9,29.7,
2017,RS22,RS223,33.6,8.8,13.3,5.3,47.4,68.1,73.3,,49.5,26.2,97.2,25.1,47.0,35.6,,41.5,10.8,7.8,,13.7
2018,RS22,RS223,33.1,9.5,12.8,2.5,54.8,67.0,75.2,27.4,26.5,27.3,,25.7,58.6,33.0,86.9,44.0,22.5,,32.8,12.3
2019,RS22,RS223,42.9,,14.6,0.3,54.2,65.2,72.3,30.3,48.3,23.9,97.1,23.9,44.8,33.2,,43.7,8.5,8.5,,
2020,RS22,RS223,3.3,4.8,,1.8,67.8,64.0,,28.5,22.9,21.1,,24.7,42.9,33.2,,47.4,16.1,4.9,31.9,11.4
2021,RS22,RS223,31.7,4.9,14.1,4.2,56.9,65.3,69.7,25.0,60.5,,96.2,24.7,58.5,34.8,87.6,47.0,17.1,6.9,30.1,14.4
2022,RS22,RS223,30.8,5.0,14.3,1.8,54.4,,68.3,22.9,26.6,,,26.6,56.2,34.7,84.8,50.9,15.1,3.9,28.5,13.0
2023,RS22,RS223,43.4,,13.8,0.6,69.6,65.6,,26.4,45.7,23.0,91.3,22.7,55.0,30.9,88.7,54.6,,,,
2024,RS22,RS223,29.6,0.7,12.3,0.3,51.9,,70.9,25.2,56.7,,88.7,24.7,55.1,30.6,92.5,57.7,14.5,3.1,23.2,17.1
2025,RS22,RS223,46.4,2.8,10.1,,55.3,67.0,72.3,28.8,55.5,,85.1,25.9,33.0,33.0,,,15.6,3.9,25.6,17.4
2026,RS22,RS223,48.1,4.8,8.5,,48.4,66.9,70.2,,53.3,23.8,82.8,,55.3,30.6,87.2,52.0,14.4,0.2,26.6,16.4
2016,RS22,RS224,84.1,75.5,11.1,87.9,37.8,2.7,49.8,39.6,55.4,,,55.4,48.4,80.4,50.7,85.8,54.0,,43.4,64.7
2017,RS22,RS224,82.6,73.3,8.1,,32.0,2.2,,38.2,56.7,,58.5,54.9,48.3,80.0,,83.4,56.0,56.2,46.1,65.6
2018,RS22,RS224,84.5,70.0,7.1,90.6,36.7,4.4,54.3,39.9,60.4,59.3,61.5,,49.4,78.4,55.1,85.4,54.9,59.5,43.1,62.1
2019,RS22,RS224,78.5,69.0,,88.0,29.0,1.5,,43.5,58.6,60.6,61.7,53.5,45.9,76.1,,84.2,55.3,63.3,42.1,60.4
2020,RS22,RS224,79.0,70.4,12.4,,36.5,0.9,50.8,40.7,56.2,,,56.2,49.6,80.1,,80.9,55.3,63.8,41.9,60.1
2021,RS22,RS224,82.3,71.9,10.6,85.7,37.0,0.0,49.6,39.4,59.1,60.0,,58.2,49.9,78.4,56.1,84.7,49.0,,41.8,56.3
2022,RS22,RS224,80.7,74.3,14.0,81.7,24.9,1.1,51.4,,62.2,63.0,65.0,58.5,49.0,79.0,55.4,87.5,53.5,63.1,43.9,53.4
2023,RS22,RS224,84.3,,11.6,80.2,35.7,0.8,54.9,38.8,63.2,,66.5,59.9,48.0,79.3,52.6,87.8,54.0,63.7,44.9,53.5
2024,RS22,RS224,76.5,70.3,,82.8,53.4,,52.8,40.4,63.9,67.8,67.6,56.3,65.1,75.5,54.7,,49.0,,48.5,49.6
2025,RS22,RS224,78.2,67.8,11.4,,23.6,0.0,52.8,,60.2,64.0,,56.5,50.0,76.4,58.6,85.1,50.6,,49.5,51.7
2026,RS22,RS224,74.5,66.7,,82.2,52.5,,48.9,46.1,63.1,61.5,70.8,57.1,37.1,,58.6,84.4,57.1,62.3,,51.9
2016,RS22,RS225,46.8,75.6,81.9,,46.0,12.3,47.6,26.6,61.6,57.7,,65.4,56.9,71.6,25.5,26.5,44.2,56.9,66.8,9.0
2017,RS22,RS225,55.0,79.0,,31.0,46.2,9.8,47.3,23.9,51.7,56.0,33.0,66.0,51.2,75.4,26.9,,37.5,,67.1,8.0
2018,RS22,RS225,27.2,,79.2,33.6,46.0,10.5,50.3,22.3,53.2,56.9,36.6,66.2,49.1,,24.5,26.2,42.4,56.5,66.1,4.5
2019,RS22,RS225,56.1,80.1,,32.1,64.4,,47.0,24.2,54.9,57.0,38.5,69.1,57.7,71.8,25.4,24.2,41.9,55.3,63.6,6.7
2020,RS22,RS225,44.6,80.8,77.7,30.6,34.2,12.6,44.2,,62.0,53.6,,70.5,58.5,69.3,28.4,22.3,56.0,51.9,60.2,
2021,RS22,RS225,58.9,83.6,,34.2,67.2,,41.8,23.7,55.4,51.7,43.9,70.7,56.7,65.7,25.9,21.5,40.6,51.7,62.6,7.5
2022,RS22,RS225,47.6,81.8,71.4,32.5,31.5,8.3,45.2,,57.1,,46.2,68.0,59.6,68.9,28.2,18.4,42.0,51.1,63.6,11.2
2023,RS22,RS225,49.3,85.0,68.5,31.4,45.7,6.0,45.6,23.2,53.8,53.8,,,60.1,67.8,27.0,14.5,42.2,51.8,62.3,12.4
2024,RS22,RS225,61.6,88.0,,35.3,67.0,,43.5,22.6,59.2,54.5,,64.0,30.4,,30.4,,43.8,54.1,64.1,13.3
2025,RS22,RS225,50.0,84.3,69.7,35.5,5.2,5.2,,,54.8,50.7,46.3,67.4,60.7,66.9,27.2,12.0,35.8,,60.1,11.4
2026,RS22,RS225,32.1,,67.6,31.7,76.0,,,24.0,53.8,47.4,44.9,69.0,60.9,68.2,28.2,13.7,35.1,,59.4,10.8
2016,RS22,RS226,59.0,52.2,35.1,59.9,71.8,70.1,53.0,1.7,63.5,45.7,,81.3,33.1,44.4,21.8,,29.1,2.4,74.3,10.7
2017,RS22,RS226,57.8,48.4,38.3,63.2,45.9,,54.1,,53.8,,23.2,84.3,36.6,42.0,23.2,55.5,38.1,5.5,70.7,
2018,RS22,RS226,54.0,48.7,40.7,,56.6,69.3,56.0,,51.8,42.2,26.7,86.4,34.8,38.0,20.3,54.0,30.5,9.2,73.7,8.5
2019,RS22,RS226,51.1,46.8,44.6,,70.2,,54.5,5.2,36.8,44.4,29.1,,34.9,36.1,19.2,50.7,41.1,7.9,74.3,
2020,RS22,RS226,54.6,43.6,47.1,67.3,71.1,67.5,52.1,2.1,68.5,46.4,,90.7,20.0,,20.0,,29.7,10.3,70.6,8.3
2021,RS22,RS226,56.1,46.9,43.8,65.3,70.4,,53.1,6.1,70.4,46.9,,93.9,37.4,,21.1,46.4,11.0,12.5,,9.5
2022,RS22,RS226,54.5,44.8,44.8,63.4,68.3,64.2,56.3,2.9,57.7,49.6,32.1,91.4,33.4,,17.2,50.4,31.9,16.3,67.1,12.4
2023,RS22,RS226,49.1,42.2,44.0,,69.8,64.1,53.4,1.3,54.9,48.1,28.8,87.8,33.6,27.2,21.0,47.4,64.8,,64.8,
2024,RS22,RS226,47.2,38.8,44.3,,69.7,66.9,56.2,1.6,56.0,48.9,28.8,90.4,34.0,30.9,17.0,45.8,38.8,11.8,65.7,
2025,RS22,RS226,46.3,35.1,42.5,,42.7,,57.3,,57.0,49.0,31.8,90.1,33.8,30.8,19.5,48.9,27.3,13.0,64.4,4.5
2026,RS22,RS226,46.0,32.3,40.2,,72.0,72.0,55.9,0.0,58.1,49.3,33.6,91.4,33.8,34.4,17.7,50.6,38.4,12.6,64.2,
2016,RS22,RS227,63.4,99.9,30.7,21.0,73.7,77.1,27.8,28.3,82.0,67.8,78.8,99.3,49.1,31.0,41.4,25.2,38.7,63.6,9.8,42.8
2017,RS22,RS227,63.9,100.0,27.2,18.8,77.8,80.9,25.3,,86.4,,77.6,95.3,50.5,34.1,45.0,27.6,38.1,62.5,12.4,39.3
2018,RS22,RS227,46.1,,23.4,15.7,78.5,83.4,26.5,,,,,,51.6,33.7,44.8,23.7,27.3,,13.4,41.3
2019,RS22,RS227,85.0,96.3,26.2,,71.9,,26.0,30.2,80.2,66.6,,93.9,60.8,,45.5,24.0,39.4,58.2,16.9,43.0
2020,RS22,RS227,43.9,,27.8,15.5,75.4,86.3,29.4,30.7,80.9,67.6,77.8,97.2,53.4,38.5,46.8,25.0,40.2,60.6,15.3,44.6
2021,RS22,RS227,46.9,,24.9,18.8,74.7,85.0,27.6,33.3,82.6,68.8,,96.4,53.8,40.9,48.8,28.4,40.3,58.9,18.9,43.0
2022,RS22,RS227,61.1,94.0,26.9,16.3,75.5,84.6,25.8,32.3,79.5,66.2,74.5,97.8,45.4,44.3,46.5,,51.2,59.4,,43.1
2023,RS22,RS227,61.1,92.1,23.3,14.4,73.9,87.5,29.6,36.3,78.8,65.8,76.1,94.6,44.2,45.8,42.7,,51.4,57.0,,45.8
2024,RS22,RS227,95.6,95.6,,,72.3,85.6,29.7,39.0,76.8,62.2,74.4,93.7,51.9,44.5,39.4,28.1,41.6,60.6,16.3,48.0
2025,RS22,RS227,60.8,97.9,24.3,8.8,75.6,87.8,,36.6,70.4,66.1,74.7,,51.6,41.9,37.1,24.2,41.6,62.1,13.8,48.9
2026,RS22,RS227,61.5,100.0,23.9,8.5,80.8,87.4,25.8,,76.4,63.1,74.1,92.1,50.3,41.8,35.5,26.4,41.6,62.1,14.1,48.6
2016,RS22,RS228,34.3,49.1,84.4,38.1,36.1,8.7,28.7,71.8,27.4,51.2,3.6,,87.6,,99.4,24.2,56.5,73.4,1.7,94.5
2017,RS22,RS228,33.2,46.2,84.3,37.8,8.6,8.6,,,30.5,54.0,7.0,30.5,73.1,46.4,99.5,26.6,55.6,71.6,2.9,92.3
2018,RS22,RS228,31.6,42.7,83.0,35.2,37.3,12.2,26.3,73.9,42.5,51.8,,33.1,73.4,50.0,100.0,29.9,39.6,72.6,6.7,
2019,RS22,RS228,33.0,43.9,81.1,36.3,23.5,,,76.5,30.6,48.5,6.5,36.9,73.3,46.7,100.0,,56.9,71.1,4.4,95.1
2020,RS22,RS228,27.4,,83.8,38.6,36.2,8.0,21.9,77.4,29.2,50.9,2.9,33.8,45.2,45.2,,,82.6,73.7,,91.5
2021,RS22,RS228,34.0,43.2,81.0,39.7,40.1,5.0,24.8,,17.8,,1.8,33.7,100.0,,100.0,,55.3,77.2,0.1,88.6
2022,RS22,RS228,27.6,,85.0,40.1,35.7,8.0,25.3,75.6,29.6,51.0,2.4,35.4,71.6,44.2,98.9,,84.9,,,84.9
2023,RS22,RS228,35.9,46.1,81.5,43.0,75.9,,24.1,,28.9,52.6,5.3,,71.5,44.0,99.0,,52.5,73.1,2.0,82.5
2024,RS22,RS228,36.3,47.2,80.4,42.1,43.9,11.6,23.7,,19.8,,8.3,31.3,72.1,41.4,100.0,25.1,53.7,75.2,4.7,81.2
2025,RS22,RS228,36.0,49.2,79.8,38.7,80.0,,20.0,,28.4,51.6,5.2,,57.2,37.4,,23.1,78.4,,,78.4
2026,RS22,RS228,44.3,46.8,,41.9,12.9,12.9,,,28.7,55.1,2.3,28.8,72.0,40.9,97.0,21.9,77.6,75.9,,79.3
2016,RS22,RS229,29.1,29.1,,,35.4,30.7,60.0,,91.1,91.5,86.4,95.5,54.8,53.0,15.2,3.8,58.8,74.4,79.4,22.6
2017,RS22,RS229,33.9,25.3,57.7,34.0,41.9,29.2,60.5,43.0,91.0,,88.2,93.8,71.8,49.2,,5.7,59.1,77.8,77.4,22.2
2018,RS22,RS229,36.7,,58.6,32.0,42.4,32.1,60.6,44.3,94.0,,90.8,97.3,73.1,51.0,,4.8,59.0,78.3,79.5,19.2
2019,RS22,RS229,25.2,21.8,,28.6,32.9,32.9,,,91.1,88.3,90.6,94.4,34.4,53.1,15.6,,77.3,76.1,78.6,
2020,RS22,RS229,18.4,18.4,,,40.3,29.7,66.7,42.2,97.1,,,97.1,53.8,56.2,12.9,7.6,57.8,79.3,75.6,18.6
2021,RS22,RS229,26.2,15.3,62.9,,39.4,31.1,70.4,42.4,88.9,84.2,87.3,95.1,89.2,,,10.8,22.2,,,22.2
2022,RS22,RS229,27.8,18.0,59.7,25.2,39.2,32.1,73.8,40.8,86.4,,86.4,,50.8,55.8,9.1,12.5,58.7,83.5,69.0,23.5
2023,RS22,RS229,27.7,15.2,58.1,25.9,29.4,29.6,70.8,,92.2,,87.6,96.7,34.0,57.9,10.2,,61.2,84.7,71.9,27.1
2024,RS22,RS229,35.1,,56.4,26.6,38.9,26.4,71.2,38.5,84.7,85.0,84.3,,51.6,60.0,7.0,12.2,61.3,84.6,69.8,29.6
2025,RS22,RS229,29.5,18.7,57.3,27.1,43.0,25.5,,39.6,88.2,84.3,86.8,93.5,86.1,,,13.9,58.0,85.0,,31.0
2026,RS22,RS229,46.2,,53.8,,30.2,,69.8,,88.3,82.8,88.6,93.5,70.3,58.3,,17.6,58.2,83.1,,33.4
2016,SE11,SE110,42.5,30.1,73.8,71.2,50.7,8.6,17.8,38.8,46.3,46.3,,,39.0,,56.8,78.7,38.9,22.8,22.6,71.3
2017,SE11,SE110,51.9,29.5,,74.3,37.2,12.2,,37.8,43.2,45.7,40.7,,53.5,79.5,57.9,76.8,18.9,,18.9,
2018,SE11,SE110,41.0,27.0,76.6,72.5,50.4,10.4,19.1,40.1,42.9,46.9,38.9,,50.8,76.0,56.7,80.4,38.8,27.6,15.9,73.0
2019,SE11,SE110,47.4,,75.1,69.9,33.9,8.5,,40.8,67.5,,35.0,100.0,52.4,77.7,56.2,76.8,43.4,,14.5,72.3
2020,SE11,SE110,48.1,,76.5,72.8,40.7,4.6,23.2,,100.0,,,100.0,41.8,,58.1,74.6,50.1,27.3,,73.0
2021,SE11,SE110,38.9,21.5,74.3,69.5,47.8,8.5,25.8,39.2,61.8,49.4,39.1,96.8,54.6,78.5,60.9,75.7,39.0,25.5,15.3,76.3
2022,SE11,SE110,37.0,17.6,74.1,67.6,47.9,8.2,25.1,39.3,64.2,,35.2,93.2,55.8,81.2,60.7,74.6,38.0,26.2,12.2,75.5
2023,SE11,SE110,45.5,,78.0,69.1,48.2,9.1,27.8,36.7,40.5,45.2,35.9,,54.0,78.7,56.7,73.4,38.3,22.3,13.2,79.3
2024,SE11,SE110,36.0,16.9,74.2,65.4,41.8,10.9,27.4,,66.3,,37.9,94.8,54.9,78.0,56.7,70.1,19.6,23.3,15.8,
2025,SE11,SE110,46.9,,74.3,68.0,51.6,14.8,25.3,34.7,59.7,47.1,38.6,93.4,52.0,75.9,,72.0,38.2,25.9,12.3,76.4
2026,SE11,SE110,37.0,17.8,78.0,71.3,44.7,17.7,28.3,,43.0,44.0,42.0,,54.0,77.0,54.5,69.6,38.4,29.1,13.6,72.6
